id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
259.0;овд г. печоры республики коми;;112-005;3577;2593590199581676993;
260.0;увд г. ухты республики коми;;112-006;3578;2593589256836355077;
4144.0;наро-фоминский ом увд наро-фоминского р-на московской обл.;;503-055;10223;2593589956362376303;
4145.0;апрелевский ом увд наро-фоминского р-на московской обл.;;503-056;10224;2593589879338178439;
261.0;овд г. вуктыла республики коми;;112-007;3579;2593594845763212879;
262.0;овд ижемского р-на республики коми;;112-008;3580;2593591550566995195;
263.0;овд княжпогостского р-на республики коми;;112-009;3581;2593589204994758594;
264.0;овд койгородского р-на республики коми;;112-010;3582;2593582438928094558;
265.0;овд корткеросского р-на республики коми;;112-011;3583;2593589435597591806;
266.0;овд прилузского р-на республики коми;;112-012;3584;2593589387228878011;
267.0;овд г. сосногорска республики коми;;112-013;3585;2593589421538284779;
268.0;овд сыктывдинского р-на республики коми;;112-014;3586;2593581540952774018;
269.0;овд сысольского р-на республики коми;;112-015;3587;2593589137231583089;
270.0;овд троицко-печорского р-на республики коми;;112-016;3588;2593582746060199543;
271.0;овд удорского р-на республики коми;;112-017;3589;2593589311957898321;
272.0;овд г. усинска республики коми;;112-018;3590;2593581475974616360;
273.0;овд усть-вымского р-на республики коми;;112-019;3591;2593589205808453571;
274.0;овд усть-куломского р-на республики коми;;112-020;3592;2593593535739467648;
275.0;овд усть-цилемского р-на республики коми;;112-021;3593;2593591556103476483;
276.0;жешартское пом усть-вымского р-на республики коми;;113-001;3594;2593588834344113676;
277.0;микуньский городской ом усть-вымского р-на республики коми;;113-002;3595;2593589441092130054;
278.0;воргашорский гом г. воркуты республики коми;;113-003;3596;2593589256114934788;
279.0;северное пом г. воркуты республики коми;;113-004;3597;2593589419415966952;
280.0;войвожский тп милиции г. сосногорска республики коми;;113-005;3598;2593586631344658247;
281.0;нижнеодесское пом г. сосногорска республики коми;;113-006;3599;2593589432913237242;
282.0;уфмс россии по республике марий эл;;120-000;3600;2593581431280112874;
283.0;тп уфмс россии по республике марий эл в п.красногорский;;120-006;3606;2593587093481461163;
284.0;тп уфмс россии по республике марий эл в килемарском р-не;;120-007;3607;2593588724453348730;
285.0;тп уфмс россии по республике марий эл в п.визимьяры в килемарском р-не;;120-008;3608;2593589417436255461;
286.0;тп уфмс россии по республике марий эл в куженерском р-не;;120-009;3609;2593589418090566886;
287.0;тп уфмс россии по республике марий эл в мари-турекском р-не;;120-010;3610;2593594455265121364;
288.0;отделение уфмс россии по республике марий эл в медведевском р-не;;120-011;3611;2593593665226019885;
289.0;тп уфмс россии по республике марий эл в моркинском р-не;;120-012;3612;2593593477941958439;
290.0;тп уфмс россии по республике марий эл в новоторъяльском р-не;;120-013;3613;2593589284032222249;
3969.0;тп №2 в г. сергиев посад оуфмс россии по московской обл. в сергиево-посадском р-не;;500-148;10254;2593591024517387853;
291.0;тп уфмс россии по республике марий эл в оршанском р-не;;120-014;3614;2593587471950288791;
292.0;тп уфмс россии по республике марий эл в параньгинском р-не;;120-015;3615;2593589105631696713;
293.0;тп уфмс россии по республике марий эл в сернурском р-не;;120-016;3616;2593589015579989719;
294.0;тп уфмс россии по республике марий эл в советском р-не;;120-017;3617;2593586716044433338;
295.0;тп уфмс россии по республике марий эл в юринском р-не;;120-018;3618;2593581497818551622;
296.0;отдел уфмс россии по республике марий эл в г. йошкар-оле;;120-020;3619;2593589089282299699;
297.0;мвд республики марий эл;;121-001;3620;2593581386333951146;
298.0;центральный отдел милиции увд г. йошкар-олы;;122-001;3621;2593587256019129984;
299.0;овд г. волжска республики марий эл;;122-002;3622;2593587360985782024;
300.0;овд волжского р-на республики марий эл;;122-003;3623;2593581342092432492;
301.0;овд горномарийского р-на республики марий эл;;122-004;3624;2593595814991369907;
302.0;овд звениговского р-на республики марий эл;;122-006;3625;2593587635150656610;
303.0;овд килемарского р-на республики марий эл;;122-007;3626;2593589067178317591;
304.0;овд куженерского р-на республики марий эл;;122-008;3627;2593587508180686789;
305.0;овд мари-турекского р-на республики марий эл;;122-009;3628;2593581319116035148;
306.0;овд медведевского р-на республики марий эл;;122-010;3629;2593586758398515184;
307.0;овд моркинского р-на республики марий эл;;122-011;3630;2593586761259030516;
308.0;овд новоторъяльского р-на республики марий эл;;122-012;3631;2593586761988839413;
309.0;овд оршанского р-на республики марий эл;;122-013;3632;2593593728711005315;
310.0;овд параньгинского р-на республики марий эл;;122-014;3633;2593586763356182519;
311.0;овд сернурского р-на республики марий эл;;122-015;3634;2593587257755571842;
312.0;овд советского р-на республики марий эл;;122-016;3635;2593587744110286055;
313.0;овд юринского р-на республики марий эл;;122-017;3636;2593586724256880581;
314.0;заводской отдел милиции увд г. йошкар-олы;;123-001;3637;2593586901910820014;
315.0;заречный отдел милиции увд г. йошкар-олы;;123-002;3638;2593586636528817998;
316.0;красногорское ом звениговского р-на республики марий эл;;123-003;3639;2593586767449823228;
317.0;визимьярское ом килемарского р-на республики марий эл;;123-004;3640;2593594156110583495;
318.0;мвд республики мордовия;;131-001;3667;2593588987243271860;
319.0;овд октябрьского района города саранска;;132-001;3668;2593595517673936261;
320.0;овд ленинского района города саранска;;132-002;3669;2593588947221223037;
321.0;овд пролетарского района города саранска;;132-003;3670;2593581565212628386;
322.0;овд ардатовского района республики мордовия;;132-004;3671;2593591447487779950;
323.0;овд атюрьевского района республики мордовия;;132-005;3672;2593595577878975951;
324.0;овд атяшевского района республики мордовия;;132-006;3673;2593593362556655257;
325.0;овд большеберезниковского района республики мордовия;;132-007;3674;2593588958747170445;
326.0;овд большеигнатовского района республики мордовия;;132-008;3675;2593581573517350318;
327.0;овд дубенского района республики мордовия;;132-009;3676;2593591459709981823;
328.0;овд ельниковского района республики мордовия;;132-010;3677;2593588950006240897;
3946.0;оуфмс россии по пермскому краю в г. александровске (с местом дислокации в пос. яйва);;590-010;10291;2593591162526766847;
329.0;овд зубово-полянского района республики мордовия;;132-011;3678;2593582662744544809;
330.0;мвд республики саха (якутия);;141-001;3691;2593591295024830385;
331.0;отдел милиции г. ладушкина калининградской обл.;;141-200;3692;2593581668602222128;
332.0;1 овд г. якутска;;142-001;3693;2593586685090469774;
3951.0;отдел уфмс россии по свердловской обл. в октябрьском р-не г. екатеринбурга;;660-008;10296;2593598814128444487;
3952.0;отдел уфмс россии по ульяновской области в г. ульяновске;;730-028;10297;2593582069879673875;
333.0;2 овд г. якутска;;142-002;3694;2593581686159578697;
334.0;3 овд г. якутска;;142-003;3695;2593581122386401074;
